"Category","Edge Node","Cloud Node"
6,3,0
9,2,0
12,2,1
15,3,1
18,3,1
21,3,0
24,3,0
27,3,0
30,3,0
33,3,0
36,2,0
39,3,0
42,2,0
45,3,0
48,3,0
51,3,0
54,3,0
57,2,0
60,4,1
63,3,1
66,2,1
69,2,0
72,4,0
75,3,0
78,3,0
81,3,0
84,3,0
87,4,0
90,3,0
93,2,0
96,4,0
99,3,0
102,3,0
105,4,0
108,3,0
111,4,0
114,4,0
117,2,0
120,2,0
123,2,0
126,2,0
129,2,0
132,2,1
135,3,1
138,4,1
141,3,1
144,2,1
147,3,0
150,2,0
153,2,0
157,2,1
160,2,1
163,2,1
166,3,1
169,2,1
172,2,1
175,2,1
178,2,1
181,2,1
184,3,1
187,2,1
190,3,1
193,3,1
196,4,0
199,2,0
202,3,0
205,2,1
208,2,1
211,3,1
214,3,1
217,4,1
220,2,0
223,4,0
226,2,0
229,3,0
232,2,0
235,3,0
238,3,0
241,1,0